Train | episode  29600 | loss: 0.330 | acc: 0.750
Train | episode  29700 | loss: 0.160 | acc: 0.875
Train | episode  29800 | loss: 0.390 | acc: 0.812
Train | episode  29900 | loss: 0.231 | acc: 0.812
Train | episode  30000 | loss: 0.285 | acc: 0.688
Train | episode  30100 | loss: 0.286 | acc: 0.688
Train | episode  30200 | loss: 0.220 | acc: 0.812
Train | episode  30300 | loss: 0.316 | acc: 0.688
Train | episode  30400 | loss: 0.449 | acc: 0.625
Train | episode  30500 | loss: 0.348 | acc: 0.500
Train | episode  30600 | loss: 0.168 | acc: 0.938
Train | episode  30700 | loss: 0.447 | acc: 0.750
Train | episode  30800 | loss: 0.578 | acc: 0.625
Train | episode  30900 | loss: 0.323 | acc: 0.812
Train | episode  31000 | loss: 0.228 | acc: 0.750
Train | episode  31100 | loss: 0.267 | acc: 0.812
Train | episode  31200 | loss: 0.197 | acc: 0.875
Train | episode  31300 | loss: 0.257 | acc: 0.688
Train | episode  31400 | loss: 0.411 | acc: 0.812
Train | episode  31500 | loss: 0.292 | acc: 0.688
Train | episode  31600 | loss: 0.608 | acc: 0.312
Train | episode  31700 | loss: 0.200 | acc: 0.812
Train | episode  31800 | loss: 0.184 | acc: 0.875
Train | episode  31900 | loss: 0.402 | acc: 0.750
Train | episode  32000 | loss: 0.439 | acc: 0.750
Train | episode  32100 | loss: 0.467 | acc: 0.750
Train | episode  32200 | loss: 0.279 | acc: 0.750
Train | episode  32300 | loss: 0.205 | acc: 0.812
Train | episode  32400 | loss: 0.265 | acc: 0.812
Train | episode  32500 | loss: 0.151 | acc: 0.938
Train | episode  32600 | loss: 0.206 | acc: 0.750
Train | episode  32700 | loss: 0.354 | acc: 0.688
Train | episode  32800 | loss: 0.133 | acc: 0.875
Train | episode  32900 | loss: 0.149 | acc: 0.812
Train | episode  33000 | loss: 0.672 | acc: 0.750
Train | episode  33100 | loss: 0.292 | acc: 0.625
Train | episode  33200 | loss: 0.634 | acc: 0.750
Train | episode  33300 | loss: 0.282 | acc: 0.938
Train | episode  33400 | loss: 0.280 | acc: 0.688
Train | episode  33500 | loss: 0.509 | acc: 0.625
Train | episode  33600 | loss: 0.226 | acc: 0.688
